stock_id,name,market,status,updated_at
1240,茂生農經,TPEx,active,2025-09-08 07:24:58
1259,安心,TPEx,active,2025-09-08 07:24:58
1264,德麥,TPEx,active,2025-09-08 07:24:58
1268,漢來美食,TPEx,active,2025-09-08 07:24:58
1294,漢田生技,TPEx,active,2025-09-08 07:24:58
1295,生合,TPEx,active,2025-09-08 07:24:58
1336,台翰,TPEx,active,2025-09-08 07:24:58
1565,精華,TPEx,active,2025-09-08 07:24:58
1569,濱川,TPEx,active,2025-09-08 07:24:58
1570,力肯,TPEx,active,2025-09-08 07:24:58
1580,新麥,TPEx,active,2025-09-08 07:24:58
1584,精剛,TPEx,active,2025-09-08 07:24:58
1586,和勤,TPEx,active,2025-09-08 07:24:58
1591,駿吉-KY,TPEx,active,2025-09-08 07:24:58
1593,祺驊,TPEx,active,2025-09-08 07:24:58
1595,川寶,TPEx,active,2025-09-08 07:24:58
1599,宏佳騰,TPEx,active,2025-09-08 07:24:58
1742,台蠟,TPEx,active,2025-09-08 07:24:58
1777,生泰,TPEx,active,2025-09-08 07:24:58
1781,合世,TPEx,active,2025-09-08 07:24:58
1784,訊聯,TPEx,active,2025-09-08 07:24:58
1785,光洋科,TPEx,active,2025-09-08 07:24:58
1788,杏昌,TPEx,active,2025-09-08 07:24:58
1796,金穎生技,TPEx,active,2025-09-08 07:24:58
1799,易威,TPEx,active,2025-09-08 07:24:58
1813,寶利徠,TPEx,active,2025-09-08 07:24:58
1815,富喬,TPEx,active,2025-09-08 07:24:58
2035,唐榮,TPEx,active,2025-09-08 07:24:58
2061,風青,TPEx,active,2025-09-08 07:24:58
2063,世鎧,TPEx,active,2025-09-08 07:24:58
2064,晉椿,TPEx,active,2025-09-08 07:24:58
2065,世豐,TPEx,active,2025-09-08 07:24:58
2066,世德,TPEx,active,2025-09-08 07:24:58
2067,嘉鋼,TPEx,active,2025-09-08 07:24:58
2070,精湛,TPEx,active,2025-09-08 07:24:58
2073,雄順,TPEx,active,2025-09-08 07:24:58
2221,大甲,TPEx,active,2025-09-08 07:24:58
2230,泰茂,TPEx,active,2025-09-08 07:24:58
2235,謚源,TPEx,active,2025-09-08 07:24:58
2596,綠意,TPEx,active,2025-09-08 07:24:58
2640,大車隊,TPEx,active,2025-09-08 07:24:58
2641,正德,TPEx,active,2025-09-08 07:24:58
2643,捷迅,TPEx,active,2025-09-08 07:24:58
2718,全心投控,TPEx,active,2025-09-08 07:24:58
2719,燦星旅,TPEx,active,2025-09-08 07:24:58
2724,藝舍-KY,TPEx,active,2025-09-08 07:24:58
2726,雅茗-KY,TPEx,active,2025-09-08 07:24:58
2729,瓦城,TPEx,active,2025-09-08 07:24:58
2732,六角,TPEx,active,2025-09-08 07:24:58
2734,易飛網,TPEx,active,2025-09-08 07:24:58
2736,富野,TPEx,active,2025-09-08 07:24:58
2740,天蔥,TPEx,active,2025-09-08 07:24:58
2743,山富,TPEx,active,2025-09-08 07:24:58
2745,五福,TPEx,active,2025-09-08 07:24:58
2751,王座,TPEx,active,2025-09-08 07:24:58
2752,豆府,TPEx,active,2025-09-08 07:24:58
2754,亞洲藏壽司,TPEx,active,2025-09-08 07:24:58
2755,揚秦,TPEx,active,2025-09-08 07:24:58
2756,聯發國際,TPEx,active,2025-09-08 07:24:58
2916,滿心,TPEx,active,2025-09-08 07:24:58
2924,宏太-KY,TPEx,active,2025-09-08 07:24:58
2926,誠品生活,TPEx,active,2025-09-08 07:24:58
2937,集雅社,TPEx,active,2025-09-08 07:24:58
2941,米斯特,TPEx,active,2025-09-08 07:24:58
2947,振宇五金,TPEx,active,2025-09-08 07:24:58
2948,寶陞,TPEx,active,2025-09-08 07:24:58
2949,欣新網,TPEx,active,2025-09-08 07:24:58
3064,泰偉,TPEx,active,2025-09-08 07:24:58
