股票代號,股票名稱,型態類型,綜合評分,A點日期,A點價格,B點日期,B點價格,C點日期,C點價格,訊號日期,上漲幅度,回撤比例,AB段天數,BC段天數,C到訊號天數,AB段例外,BC段例外,RSI14,EMA5,EMA20,量比,突破昨高,EMA5量增,RSI強勢
5525,順天,BC例外型態,68,2025-09-01,28.9,2025-09-04,31.7,2025-09-08,30.2,2025-09-08,9.69%,53.6%,3,2,0,否,是,47.78140439426124,30.30632970897713,30.528461297639073,1.6034377303451843,否,是,否
1773,1773,雙例外型態,69,2025-08-29,138.5,2025-09-01,154.5,2025-09-03,145.5,2025-09-08,11.55%,56.2%,1,2,3,是,是,54.656904483766326,146.38331615553625,141.40696345049034,1.1141173429942501,否,否,是
4966,4966,AB例外型態,50,2025-08-20,756.0,2025-08-21,825.0,2025-08-26,774.0,2025-09-08,9.13%,73.9%,1,3,9,是,否,61.542357053083514,787.9766065545705,762.8218324592664,0.5133638051633336,否,否,是
